traditional,simplified,avg_l2_distance,avg_cosine_distance,avg_cosine_similarity,last_layer_name,last_layer_l2_distance,last_layer_cosine_distance,last_layer_cosine_similarity
榘,矩,21.138055654672478,0.4076821437248817,0.5923178551288751,layer_12,17.451519012451172,0.6488926410675049,0.35110732913017273
彿,佛,20.68041882148156,0.3990187644958496,0.6009812377966367,layer_12,12.8182954788208,0.5246492624282837,0.4753507375717163
閤,合,19.222170683053825,0.3626422561131991,0.6373577450330441,layer_12,12.345967292785645,0.45739877223968506,0.5426012277603149
錶,表,19.29867803133451,0.3457735043305617,0.6542264956694382,layer_12,13.073598861694336,0.5290878415107727,0.4709121584892273
蒐,搜,18.9755246089055,0.3329894313445458,0.6670105686554542,layer_12,12.453523635864258,0.46299469470977783,0.5370053052902222
唸,念,18.530961183401253,0.3305054261134221,0.6694945761790643,layer_12,13.809826850891113,0.591403067111969,0.408596932888031
蔔,卜,18.436965502225437,0.3251474041205186,0.6748525958794814,layer_12,12.001254081726074,0.43469077348709106,0.5653092265129089
穀,谷,18.268250685471756,0.32264985946508556,0.6773501428274008,layer_12,12.186114311218262,0.4752767086029053,0.5247232913970947
傢,家,17.72849919245793,0.3152347757266118,0.6847652242733882,layer_12,11.030930519104004,0.3544762134552002,0.6455237865447998
喫,吃,17.779354095458984,0.3088488166148846,0.6911511833851154,layer_12,10.8864164352417,0.420513391494751,0.579486608505249
迴,回,18.512409210205078,0.30782601008048427,0.692173992212002,layer_12,12.012571334838867,0.5191162824630737,0.48088374733924866
闆,板,17.867917207571175,0.3073597183594337,0.6926402793480799,layer_12,11.396709442138672,0.4118947982788086,0.5881052017211914
剋,克,17.59927698282095,0.30605501853502715,0.6939449814649729,layer_12,11.492280006408691,0.4467366933822632,0.5532633066177368
慄,栗,17.606434455284706,0.3001339527276846,0.6998660472723154,layer_12,12.769864082336426,0.44565391540527344,0.5543460845947266
摺,折,18.179584356454704,0.29933003278879017,0.7006699672112098,layer_12,13.974416732788086,0.4958640933036804,0.5041359066963196
儁,俊,17.402301348172703,0.2981112049176143,0.7018887962286289,layer_12,11.65761947631836,0.40035921335220337,0.5996407866477966
崑,昆,18.126983349139874,0.2980257593668424,0.7019742406331576,layer_12,11.634247779846191,0.35326236486434937,0.6467376351356506
碕,埼,17.438775576077976,0.2963763246169457,0.7036236776755407,layer_12,11.397343635559082,0.38187336921691895,0.618126630783081
鬆,松,17.39757567185622,0.2920376337491549,0.7079623662508451,layer_12,10.779207229614258,0.34887105226516724,0.6511289477348328
緻,致,17.175338304959812,0.2898916739683885,0.7101083260316116,layer_12,9.881336212158203,0.3795067071914673,0.6204932928085327
