traditional,simplified,avg_l2_distance,avg_cosine_similarity,last_layer_name,last_layer_l2_distance,last_layer_cosine_similarity
榘,矩,21.138055654672478,0.5923178551288751,layer_12,17.451519012451172,0.35110732913017273
彿,佛,20.68041882148156,0.6009812377966367,layer_12,12.8182954788208,0.4753507375717163
錶,表,19.29867803133451,0.6542264956694382,layer_12,13.073598861694336,0.4709121584892273
閤,合,19.222170683053825,0.6373577450330441,layer_12,12.345967292785645,0.5426012277603149
蒐,搜,18.9755246089055,0.6670105686554542,layer_12,12.453523635864258,0.5370053052902222
唸,念,18.530961183401253,0.6694945761790643,layer_12,13.809826850891113,0.408596932888031
迴,回,18.512409210205078,0.692173992212002,layer_12,12.012571334838867,0.48088374733924866
蔔,卜,18.436965502225437,0.6748525958794814,layer_12,12.001254081726074,0.5653092265129089
穀,谷,18.268250685471756,0.6773501428274008,layer_12,12.186114311218262,0.5247232913970947
摺,折,18.179584356454704,0.7006699672112098,layer_12,13.974416732788086,0.5041359066963196
崑,昆,18.126983349139874,0.7019742406331576,layer_12,11.634247779846191,0.6467376351356506
蘚,藓,18.06607745243953,0.7315799914873563,layer_12,13.277374267578125,0.6228213310241699
闆,板,17.867917207571175,0.6926402793480799,layer_12,11.396709442138672,0.5881052017211914
龔,龚,17.82557326096755,0.72947391638389,layer_12,13.324636459350586,0.5614452362060547
喫,吃,17.779354095458984,0.6911511833851154,layer_12,10.8864164352417,0.579486608505249
傢,家,17.72849919245793,0.6847652242733882,layer_12,11.030930519104004,0.6455237865447998
璿,璇,17.727130743173454,0.7135972036765172,layer_12,12.532812118530273,0.5881339311599731
慄,栗,17.606434455284706,0.6998660472723154,layer_12,12.769864082336426,0.5543460845947266
剋,克,17.59927698282095,0.6939449814649729,layer_12,11.492280006408691,0.5532633066177368
捲,卷,17.48495864868164,0.7316208619337815,layer_12,12.847695350646973,0.5548018217086792
