layer_index,metric,mean,std
0,higher_cosine_fixed_from_layer0,0.8454604595899582,0.04937976689600949
0,lower_cosine_fixed_from_layer0,0.5521274851635098,0.1604134541624033
1,higher_cosine_fixed_from_layer0,0.8989672027528286,0.04571123513344248
1,lower_cosine_fixed_from_layer0,0.6977907605469227,0.12357312627899696
2,higher_cosine_fixed_from_layer0,0.9018466956913471,0.044400968029108076
2,lower_cosine_fixed_from_layer0,0.7196681033819914,0.11197668814946087
3,higher_cosine_fixed_from_layer0,0.9172382429242134,0.037460082889084326
3,lower_cosine_fixed_from_layer0,0.7628913708031178,0.08918672960741177
4,higher_cosine_fixed_from_layer0,0.9275827817618847,0.030549112067714528
4,lower_cosine_fixed_from_layer0,0.7873546816408634,0.08350002268016471
5,higher_cosine_fixed_from_layer0,0.9441924840211868,0.023213806957859184
5,lower_cosine_fixed_from_layer0,0.8331891670823097,0.06991533676326163
6,higher_cosine_fixed_from_layer0,0.9543354324996471,0.02172761060538371
6,lower_cosine_fixed_from_layer0,0.8648547753691673,0.05832966605357823
7,higher_cosine_fixed_from_layer0,0.9493509382009506,0.025261395271890807
7,lower_cosine_fixed_from_layer0,0.850916925817728,0.06846407126735701
8,higher_cosine_fixed_from_layer0,0.9477153681218624,0.026530016988950446
8,lower_cosine_fixed_from_layer0,0.8550383932888508,0.06940705972315551
9,higher_cosine_fixed_from_layer0,0.9540733247995377,0.023513399954303654
9,lower_cosine_fixed_from_layer0,0.8845929577946663,0.05149660872302239
10,higher_cosine_fixed_from_layer0,0.9598141945898533,0.021923130204546823
10,lower_cosine_fixed_from_layer0,0.9056663475930691,0.03836191090639488
11,higher_cosine_fixed_from_layer0,0.9571381136775017,0.02122267864940844
11,lower_cosine_fixed_from_layer0,0.9103525280952454,0.036260197144665045
12,higher_cosine_fixed_from_layer0,0.8510217219591141,0.06410339340238189
12,lower_cosine_fixed_from_layer0,0.682752650231123,0.12059413231235389
